,f,NR
94,2284.1275167785234,2.47087910599798
95,2304.4161073825508,2.5507272867758957
96,2324.7046979865772,2.5891161431699317
97,2344.993288590604,2.5575930426556823
98,2365.281879194631,2.6735461294674963
99,2385.570469798658,2.7451938768577264
100,2405.859060402685,2.7553965019749427
101,2426.1476510067114,2.7768569443892233
102,2446.4362416107383,2.8291430437865586
103,2466.7248322147652,2.704731300793256
104,2487.013422818792,2.8128244362133614
105,2507.302013422819,2.861344785301128
106,2527.590604026846,2.7698560673849357
107,2547.8791946308725,2.6894247422736015
108,2568.1677852348994,2.6704901772687606
109,2588.4563758389263,2.5718232129002416
110,2608.7449664429532,2.66946033421155
111,2629.03355704698,2.818082476425019
112,2649.322147651007,2.632102186954114
113,2669.6107382550335,2.509127673588196
114,2689.8993288590605,2.41285179695943
115,2710.1879194630874,2.3274986982106327
116,2730.4765100671143,2.3496442309591856
117,2750.765100671141,2.324833735961036
118,2771.053691275168,2.2781889452003696
119,2791.3422818791946,2.3048288384750606
120,2811.6308724832215,2.376370260594257
121,2831.9194630872485,2.5168674432484295
122,2852.2080536912754,2.8207993052169087
123,2872.4966442953023,3.076621993260048
124,2892.785234899329,3.128294215596668
125,2913.0738255033557,3.1268555663214954
126,2933.3624161073826,3.2303440039081863
127,2953.6510067114095,3.415207614039659
128,2973.9395973154365,3.606837279032817
129,2994.2281879194634,3.7507623910213113
130,3014.5167785234903,3.8202192985927184
131,3034.805369127517,3.901328246214476
132,3055.0939597315437,4.0106222133448455
133,3075.3825503355706,4.11853246839776
134,3095.6711409395975,4.225943192584083
135,3115.9597315436245,4.469238597927628
136,3136.2483221476514,4.634138816096339
137,3156.5369127516783,4.690802568743777
138,3176.8255033557048,4.587361605026359
139,3197.1140939597317,4.479967074709094
140,3217.4026845637586,4.390278707325763
141,3237.6912751677855,4.355093616767164
142,3257.9798657718125,4.250998216332988
143,3278.2684563758394,4.1223126159277115
144,3298.557046979866,3.8942594987395864
145,3318.8456375838928,3.708291991216811
146,3339.1342281879197,3.428081555795245
147,3359.4228187919466,3.1524876815252867
148,3379.7114093959735,2.7346314964621286
149,3400.0,1.7198286766565616
